Текст
"«Новая газета» и многие крупные дания прекратили работу - военной цензуры в России Мы считаем сейчас как никогда важно бы наши читатели сохранили доступ к правдивой информации о происходящем Помогите нам ее распространить

Сделайте пожертвование сайте 
        donate

Или патреоне 
    

Подпишитесь наши соцсети

телеграм           
инстаграм        
твиттер           
фейсбук      

А также подписывайтесь нашу имейл-у Ее блокировать куда сложнее 
        antiwarletter

Поделитесь этим постом со своими родными и блкими бы они сохранили доступ к надежной информации"
"Подпишитесь Wonderzine — те дание

После блокировки Роскомнадзора Wonderzine просит читательниц и читателей поддержать медиа и оформить подписку с помощью которой  читать и другие дания

Переходите ссылке redefinemedia  about"
"Мосгорсуд оставил в СО ректора Шанинки Сергея Зуева сообщает ТАСС Ранее второй кассационный суд в Москве отменил постановление об аресте ректора Шанинки Сергея Зуева и отправил его новое рассмотрение

        jBKVC"
"В середине июня Литва претила транзит санкционных товаров в Калининградскую область — они составляют до половины всех перевозимых товаров в регион

Россия назвала действия Литвы «блокадой Калининграда» и обещает «серьезное негативное влияние население Литвы»

Шура Гуляева разобралась в сути криса —  подробнее в карточках"
Питерский художник Алексей Сергиенко нарисовал портрет Цоя к 60-летию рок-музыканта В нём Виктор Цой стоит с автоматом в форме со знаком Z
"Машис антивоенным лозунгом русском языке и листовками Феминистского Антивоенного Сопротивления прайде в Перо Италия

Фото ФАС"
"Росгвардия рассматривает возсть улучшить свой имидж с помощью компьютерных игр Ведомство может внедрить свой бренд как в игры созданные с нуля так и в уже существующие проекты пишет «Ъ»

        jBKtm"
"Антивоенная ра №111 Аудиоверсия

— Bloomberg Украии Молдова получат статус кандидатов в члены ЕС ближайшем саммите в Брюсселе
— Американская инициатива против абортов убеждает беженок не прерывать нежелательную беременност
— Зеленский подписал Конвенцию Совета Европы о предотвращении и борьбе с насилием в отношении женщин и с домашним насилием
— Литва расширила прет перевозки грузов в Калининград
— Тульский суд оштрафовал украинку 30 тысяч  высказывание против российских военных
— В Москве делу о распространении «фейков» судят муниципального депутата Алексея Горинова

Слушать всех платформах         jBKYF

Подписаться у   antiwarletter"
"UPD число смертей землетрясения среди населения увеличилось до 920 человек Более 600 получили ранения

        jB0o0"
"«Во время воздушной тревоги пары прекращаются мы прячемся бункерам потому никто никогда не знает где и ударит или взорвется Воздушные тревоги приносят ужасный дискомфорт в учебу работу или даже личную жнь» —  Максим студент Житомирского государственного университета 

После начала вторжения российской армии украинские вузы школы и колледжи были вынуждены сразу же прекратить нятия нятия возобновились через месяц но только в дистанционном формате 

DOXA поговорила с украинскими студент_ками о том как они встретили утро 24 февраля как привыкали учиться во время войны и делают для того бы окончилась

        jB0uO"
"В Индии и Бангладеш - наводнений погибло более 100 человек как минимум 260 тысяч людей были вынуждены покинуть свои дома

Общий счёт пострадавших проливных дождей вызванных глобальными менениями климата идёт миллионы

        jB0iw"
"В Антивоенной е каждый вечер кто-то  нас  о том проошло делится своими мыслями и  как  попробовать отвлечься новостей хотя бы ненадолго

 сегодняшнее письмо Даши Манжура mailchimp    antiwarletter-111

Подписаться Антивоенную у   antiwarletter"
"27 государств-членов Евросою согласны предоставить Украине и Молдове статус кандидатов в члены ЕС ближайшем саммите 23–24 июня в Брюсселе Об этом сообщает Bloomberg со ссылкой собственные источники

        jBJjz"
"27 государств-членов Евросою согласны предоставить Украине и Молдове статус кандидатов в члены ЕС ближайшем саммите 23–24 июня в Брюсселе Об этом сообщает Bloomberg со ссылкой собственные источники

        jBJIL"
"Барнаульский суд продлил меру пресечения журналистке RusNews Марии Пономаренко до 29 августа 2022 года Об этом сообщает телеграм-канал «Свободу Марии Пономаренко»

версии следствия 17 марта журналистка опубликовала в своем телеграм-канале «ложную информацию российскими воздушно-космическими силами был нанесен авиаудар драмтеатру в Мариуполе»

        jBucM"
"Утром 21 июня в Великобритании началась крупнейшая  последние 30 лет бастовка железнодорожников в которой участвуют около 40 тысяч рабочих Участники протеста требуют повышения рплат и улучшения условий труда

        jBuQY"
"В Антивоенной е каждый вечер кто-то  нас  о том проошло делится своими мыслями и  как  попробовать отвлечься новостей хотя бы ненадолго

 сегодняшнее письмо сливы внештатной редакторки DOXA         jBuHc

DOXA вместе с читатель_ницами и активист_ками разбирается  ли постить обычную жнь к концу четвертого месяца войны и как продолжать рассказывать о ней   warnotlife"
"Работникам российских государственных учреждений будут платить двойную рплату  посещение «ДНР» «ЛНР» и других оккупированных территорий говорится в постановлении правительства

        jBu3v"
"Американский аукционный дом Heritage Auctions продал Нобелевскую медаль премии мира главного редактора «Новой газеты» Дмитрия Муратова  1035 миллиодолларов 

Все вырученные средства пойдут поддержку гуманитарной миссии ЮНИСЕФ оканию помощи украинским детям-беженцам и их семьям

        jBurS"
