Source,Target,Type,Id,Label,Intercal,Weight
53745,777777,,,,,
53771,777777,,,,,
55602,777777,,,,,
55648,777777,,,,,
55885,777777,,,,,
56572,777777,,,,,
56613,777777,,,,,
59412,777777,,,,,
60119,777777,,,,,
71090,777777,,,,,
72625,777777,,,,,
75252,777777,,,,,
77805,777777,,,,,
79007,777777,,,,,
79609,777777,,,,,
80420,777777,,,,,
81266,777777,,,,,
86454,777777,,,,,
86897,777777,,,,,
95573,777777,,,,,
100449,777777,,,,,
106430,777777,,,,,
111195,777777,,,,,
116559,777777,,,,,
116932,777777,,,,,
118762,777777,,,,,
126560,777777,,,,,
127679,777777,,,,,
128370,777777,,,,,
128478,777777,,,,,
129134,777777,,,,,
129301,777777,,,,,
135300,777777,,,,,
138430,777777,,,,,
139776,777777,,,,,
140220,777777,,,,,
140873,777777,,,,,
143978,777777,,,,,
145739,777777,,,,,
145833,777777,,,,,
150147,777777,,,,,
150989,777777,,,,,
153121,777777,,,,,
153431,777777,,,,,
154521,777777,,,,,
158315,777777,,,,,
159871,777777,,,,,
161569,777777,,,,,
161940,777777,,,,,
163559,777777,,,,,
164717,777777,,,,,
171953,777777,,,,,
173496,777777,,,,,
188881,777777,,,,,
197316,777777,,,,,
202372,777777,,,,,
205695,777777,,,,,
211126,777777,,,,,
217104,777777,,,,,
219887,777777,,,,,
220760,777777,,,,,
227657,777777,,,,,
228657,777777,,,,,
230687,777777,,,,,
239647,777777,,,,,
241907,777777,,,,,
254381,777777,,,,,
273331,777777,,,,,
273855,777777,,,,,
277926,777777,,,,,
278950,777777,,,,,
281374,777777,,,,,
292292,777777,,,,,
293386,777777,,,,,
295004,777777,,,,,
298943,777777,,,,,
299327,777777,,,,,
303991,777777,,,,,
318883,777777,,,,,
324429,777777,,,,,
328934,777777,,,,,
332409,777777,,,,,
333348,777777,,,,,
334994,777777,,,,,
335151,777777,,,,,
336987,777777,,,,,
342552,777777,,,,,
343750,777777,,,,,
343775,777777,,,,,
346455,777777,,,,,
347339,777777,,,,,
347979,777777,,,,,
350005,777777,,,,,
350935,777777,,,,,
355658,777777,,,,,
355771,777777,,,,,
359904,777777,,,,,
370509,777777,,,,,
372100,777777,,,,,
374560,777777,,,,,
379774,777777,,,,,
385325,777777,,,,,
386374,777777,,,,,
388162,777777,,,,,
403480,777777,,,,,
403889,777777,,,,,
406280,777777,,,,,
408300,777777,,,,,
410302,777777,,,,,
413321,777777,,,,,
420142,777777,,,,,
425833,777777,,,,,
432030,777777,,,,,
432895,777777,,,,,
434993,777777,,,,,
436111,777777,,,,,
445523,777777,,,,,
453245,777777,,,,,
455134,777777,,,,,
457255,777777,,,,,
457430,777777,,,,,
467648,777777,,,,,
469548,777777,,,,,
477832,777777,,,,,
478017,777777,,,,,
478427,777777,,,,,
478453,777777,,,,,
482604,777777,,,,,
493005,777777,,,,,
493304,777777,,,,,
495265,777777,,,,,
497251,777777,,,,,
500220,777777,,,,,
502946,777777,,,,,
503831,777777,,,,,
507817,777777,,,,,
509104,777777,,,,,
509698,777777,,,,,
514424,777777,,,,,
526033,777777,,,,,
532010,777777,,,,,
532520,777777,,,,,
538563,777777,,,,,
545949,777777,,,,,
565809,777777,,,,,
568641,777777,,,,,
573300,777777,,,,,
574165,777777,,,,,
576038,777777,,,,,
582552,777777,,,,,
588593,777777,,,,,
591923,777777,,,,,
592301,777777,,,,,
595434,777777,,,,,
596927,777777,,,,,
602742,777777,,,,,
603422,777777,,,,,
605770,777777,,,,,
611798,777777,,,,,
612112,777777,,,,,
619137,777777,,,,,
630514,777777,,,,,
637932,777777,,,,,
638366,777777,,,,,
645484,777777,,,,,
659072,777777,,,,,
659544,777777,,,,,
661149,777777,,,,,
669103,777777,,,,,
674288,777777,,,,,
681647,777777,,,,,
688776,777777,,,,,
689903,777777,,,,,
690241,777777,,,,,
693390,777777,,,,,
711923,777777,,,,,
712003,777777,,,,,
714099,777777,,,,,
722115,777777,,,,,
725597,777777,,,,,
728471,777777,,,,,
729428,777777,,,,,
736023,777777,,,,,
744390,777777,,,,,
751035,777777,,,,,
751431,777777,,,,,
754648,777777,,,,,
760142,777777,,,,,
760433,777777,,,,,
762901,777777,,,,,
765531,777777,,,,,
767530,777777,,,,,
770885,777777,,,,,
774617,777777,,,,,
779911,777777,,,,,
789327,777777,,,,,
791245,777777,,,,,
792255,777777,,,,,
795799,777777,,,,,
796292,777777,,,,,
799946,777777,,,,,
808429,777777,,,,,
808587,777777,,,,,
811372,777777,,,,,
828765,777777,,,,,
831963,777777,,,,,
837599,777777,,,,,
857945,777777,,,,,
862521,777777,,,,,
872121,777777,,,,,
873901,777777,,,,,
875722,777777,,,,,
890254,777777,,,,,
893564,777777,,,,,
894473,777777,,,,,
904895,777777,,,,,
909202,777777,,,,,
912589,777777,,,,,
915319,777777,,,,,
916615,777777,,,,,
922196,777777,,,,,
923763,777777,,,,,
930965,777777,,,,,
942513,777777,,,,,
942887,777777,,,,,
943497,777777,,,,,
949905,777777,,,,,
955412,777777,,,,,
971789,777777,,,,,
985650,777777,,,,,
985695,777777,,,,,
1002296,777777,,,,,
1013388,777777,,,,,
1026401,777777,,,,,
1026454,777777,,,,,
1037620,777777,,,,,
1041627,777777,,,,,
1045956,777777,,,,,
1049009,777777,,,,,
1058223,777777,,,,,
1059735,777777,,,,,
1071524,777777,,,,,
1089426,777777,,,,,
1095796,777777,,,,,
1098775,777777,,,,,
1099043,777777,,,,,
1102666,777777,,,,,
1102845,777777,,,,,
1104288,777777,,,,,
1107660,777777,,,,,
1112804,777777,,,,,
1115119,777777,,,,,
1127165,777777,,,,,
1140093,777777,,,,,
1146494,777777,,,,,
1146671,777777,,,,,
1146774,777777,,,,,
1149037,777777,,,,,
1149365,777777,,,,,
1159567,777777,,,,,
1162387,777777,,,,,
1162811,777777,,,,,
1163289,777777,,,,,
1170656,777777,,,,,
1174945,777777,,,,,
1181348,777777,,,,,
1181878,777777,,,,,
1189757,777777,,,,,
1199880,777777,,,,,
1201932,777777,,,,,
1202170,777777,,,,,
1211620,777777,,,,,
1212086,777777,,,,,
1213924,777777,,,,,
1217861,777777,,,,,
1222058,777777,,,,,
1225528,777777,,,,,
1239766,777777,,,,,
1240047,777777,,,,,
1249730,777777,,,,,
1249751,777777,,,,,
1250431,777777,,,,,
1256373,777777,,,,,
1262250,777777,,,,,
1263610,777777,,,,,
1279381,777777,,,,,
1281478,777777,,,,,
1284774,777777,,,,,
1302050,777777,,,,,
1307546,777777,,,,,
1307635,777777,,,,,
